run_folder,title,template,iter1_png,primary_issue,secondary_issues,other_description,guard_notes,confidence,free_notes
20260609_022821_A_Comprehensive_Survey_of_Rewa_028f962461b9,"A Comprehensive Survey of Reward Models: Taxonomy, Applications, Challenges, and Future Directions",template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_022821_A_Comprehensive_Survey_of_Rewa_028f962461b9/pptx/iter_1.png,space_imbalance,,有个模块有留白，就是一个panel里没图，还只有一两条bulletpoints，这个应该是系统问题，按理说没图的时候，这个模块要多一点bulletpoints的，这样不空,,0.9,Results板块空白太多
20260609_023433_Test-Time_Preference_Optimizat_6b985b677181,Test-Time Preference Optimization: On-the-Fly Alignment via Iterative Textual Feedback,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023433_Test-Time_Preference_Optimizat_6b985b677181/pptx/iter_1.png,space_imbalance,asset_too_small,有个模块有留白，感觉前面几张也出现过，就是一个panel里没图，还只有一两条bulletpoints，这个应该是系统问题，按理说没图的时候，这个模块要多一点bulletpoints的，这样不空,,0.8,跟第一张海报一个问题，Conclusion模块points下面有空白
"20260609_023510_Seeing,_Listening,_Remembering_5b5ef16d0aec","Seeing, Listening, Remembering, and Reasoning: A Multimodal Agent with Long-Term Memory",template_classic,"/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023510_Seeing,_Listening,_Remembering_5b5ef16d0aec/pptx/iter_1.png",none,,,,0.8,没啥问题
20260609_023950_MLP_Memory_A_Retriever-Pretrai_ae89635e3e92,MLP Memory: A Retriever-Pretrained Memory for Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023950_MLP_Memory_A_Retriever-Pretrai_ae89635e3e92/pptx/iter_1.png,none,,,,0.8,没问题
20260609_024001_Generalist_Reward_Models_Found_657081bc5ee8,Generalist Reward Models: Found Inside Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024001_Generalist_Reward_Models_Found_657081bc5ee8/pptx/iter_1.png,asset_too_small,,有个模块有留白，感觉前面几张也出现过，就是一个panel里没图，还只有一两条bulletpoints，这个应该是系统问题，按理说没图的时候，这个模块要多一点bulletpoints的，这样不空,,0.8,图太小了
20260609_024412_LLMS'_INTERNAL_STATES_RETAIN_T_a64e1943af91,LLMS' INTERNAL STATES RETAIN THE POWER OF HALLUCINATION DETECTION,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024412_LLMS'_INTERNAL_STATES_RETAIN_T_a64e1943af91/pptx/iter_1.png,none,,,,0.8,没问题
20260609_024809_One_SPACE_to_Rule_Them_All_Joi_b087d09deca9,One SPACE to Rule Them All: Jointly Mitigating Factuality and Faithfulness Hallucinations in LLMs,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024809_One_SPACE_to_Rule_Them_All_Joi_b087d09deca9/pptx/iter_1.png,none,,,,0.8,没问题
20260609_024834_Revisiting_Hallucination_Detec_ca5d974cf3fd,Revisiting Hallucination Detection with Effective Rank-based Uncertainty,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024834_Revisiting_Hallucination_Detec_ca5d974cf3fd/pptx/iter_1.png,none,,有个模块有留白，感觉前面几张也出现过，就是一个panel里没图，还只有一两条bulletpoints，这个应该是系统问题，按理说没图的时候，这个模块要多一点bulletpoints的，这样不空，之后遇到这个问题我就不说了，感觉得改一下代码就行，就不会出现一个panel没图的情况下，只有2条或1条的bulletpoints,,0.8,没问题
20260609_024836_Know_Your_Limits_A_Survey_of_A_345fd4c78f2e,Know Your Limits: A Survey of Abstention in Large Language Models,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024836_Know_Your_Limits_A_Survey_of_A_345fd4c78f2e/pptx/iter_1.png,none,,,,0.8,有点空，上一张说过的那个问题，然后就是图太小
20260609_025032_From_Efficiency_to_Adaptivity__3483ab1db1f8,From Efficiency to Adaptivity: A Deeper Look at Adaptive Reasoning in Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025032_From_Efficiency_to_Adaptivity__3483ab1db1f8/pptx/iter_1.png,none,,,,0.8,没问题
20260609_025105_Crossing_the_Reward_Bridge_Exp_3931671c5534,Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025105_Crossing_the_Reward_Bridge_Exp_3931671c5534/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,整体布局错误了，右边有空白
20260609_025220_Is_Chain-of-Thought_Reasoning__0a77c3c5f24d,Is Chain-of-Thought Reasoning of LLMs a Mirage? A Data Distribution Lens,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025220_Is_Chain-of-Thought_Reasoning__0a77c3c5f24d/pptx/iter_1.png,asset_too_small,structure_alignment_error,,,0.8,同上一张
20260609_025510_TAKE_A_STEP_BACK_EVOKING_REASO_efd7e7bea9bb,TAKE A STEP BACK: EVOKING REASONING VIA ABSTRACTION IN LARGE LANGUAGE MODELS,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025510_TAKE_A_STEP_BACK_EVOKING_REASO_efd7e7bea9bb/pptx/iter_1.png,asset_too_small,,,,0.8,同上
20260609_025515_MEMTRACK_Evaluating_Long-Term__b8f5d698d757,MEMTRACK: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025515_MEMTRACK_Evaluating_Long-Term__b8f5d698d757/pptx/iter_1.png,none,,,,0.8,没问题
20260609_025546_Constitutional_AI_Harmlessness_ffa46538873c,Constitutional AI: Harmlessness from AI Feedback,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025546_Constitutional_AI_Harmlessness_ffa46538873c/pptx/iter_1.png,none,,,,0.8,没问题
20260609_025852_ESSAYBENCH_Evaluating_Large_La_16f4e934923a,ESSAYBENCH: Evaluating Large Language Models in Multi-Genre Chinese Essay Writing,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025852_ESSAYBENCH_Evaluating_Large_La_16f4e934923a/pptx/iter_1.png,none,,,,0.8,没问题
