run_folder,title,template,iter1_png,primary_issue,secondary_issues,other_description,guard_notes,confidence,free_notes
20260609_022821_A_Comprehensive_Survey_of_Rewa_028f962461b9,"A Comprehensive Survey of Reward Models: Taxonomy, Applications, Challenges, and Future Directions",template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_022821_A_Comprehensive_Survey_of_Rewa_028f962461b9/pptx/iter_1.png,space_imbalance,,,,0.8,有空白
20260609_023433_Test-Time_Preference_Optimizat_6b985b677181,Test-Time Preference Optimization: On-the-Fly Alignment via Iterative Textual Feedback,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023433_Test-Time_Preference_Optimizat_6b985b677181/pptx/iter_1.png,space_imbalance,,,,0.8,有空白
"20260609_023510_Seeing,_Listening,_Remembering_5b5ef16d0aec","Seeing, Listening, Remembering, and Reasoning: A Multimodal Agent with Long-Term Memory",template_classic,"/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023510_Seeing,_Listening,_Remembering_5b5ef16d0aec/pptx/iter_1.png",none,,,,0.8,没问题
20260609_023950_MLP_Memory_A_Retriever-Pretrai_ae89635e3e92,MLP Memory: A Retriever-Pretrained Memory for Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023950_MLP_Memory_A_Retriever-Pretrai_ae89635e3e92/pptx/iter_1.png,none,,,,0.8,没问题
20260609_024001_Generalist_Reward_Models_Found_657081bc5ee8,Generalist Reward Models: Found Inside Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024001_Generalist_Reward_Models_Found_657081bc5ee8/pptx/iter_1.png,space_imbalance,asset_too_small,,,0.8,有空白，图小
20260609_024412_LLMS'_INTERNAL_STATES_RETAIN_T_a64e1943af91,LLMS' INTERNAL STATES RETAIN THE POWER OF HALLUCINATION DETECTION,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024412_LLMS'_INTERNAL_STATES_RETAIN_T_a64e1943af91/pptx/iter_1.png,none,,,,0.8,没问题
20260609_024809_One_SPACE_to_Rule_Them_All_Joi_b087d09deca9,One SPACE to Rule Them All: Jointly Mitigating Factuality and Faithfulness Hallucinations in LLMs,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024809_One_SPACE_to_Rule_Them_All_Joi_b087d09deca9/pptx/iter_1.png,none,,,,0.8,没问题
20260609_024834_Revisiting_Hallucination_Detec_ca5d974cf3fd,Revisiting Hallucination Detection with Effective Rank-based Uncertainty,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024834_Revisiting_Hallucination_Detec_ca5d974cf3fd/pptx/iter_1.png,space_imbalance,,,,0.8,有空白
20260609_024836_Know_Your_Limits_A_Survey_of_A_345fd4c78f2e,Know Your Limits: A Survey of Abstention in Large Language Models,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024836_Know_Your_Limits_A_Survey_of_A_345fd4c78f2e/pptx/iter_1.png,space_imbalance,asset_too_small,,,0.8,有空白，图小
20260609_025032_From_Efficiency_to_Adaptivity__3483ab1db1f8,From Efficiency to Adaptivity: A Deeper Look at Adaptive Reasoning in Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025032_From_Efficiency_to_Adaptivity__3483ab1db1f8/pptx/iter_1.png,none,,,,0.8,没问题
20260609_025105_Crossing_the_Reward_Bridge_Exp_3931671c5534,Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025105_Crossing_the_Reward_Bridge_Exp_3931671c5534/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,布局大问题啊
20260609_025220_Is_Chain-of-Thought_Reasoning__0a77c3c5f24d,Is Chain-of-Thought Reasoning of LLMs a Mirage? A Data Distribution Lens,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025220_Is_Chain-of-Thought_Reasoning__0a77c3c5f24d/pptx/iter_1.png,structure_alignment_error,asset_too_small,,,0.8,布局大问题，图也小
