pick_idx,run_id,paper_title,template,vlm_primary,vlm_secondary,mean_chars_per_panel,max_chars_per_panel,mean_bullets_per_panel,figure_usage_ratio,density_pct,human_overload,human_primary,human_notes,png_path
1,830c175603a1,HELLOBENCH: EVALUATING LONG TEXT GENERATION CA,template_dashboard,text_overload,visual_hierarchy_weak;asset_utilization_error,139.9,193,2.286,0.286,0,no,asset_utilization_error,图明显不对,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_212556_HELLOBENCH_EVALUATING_LONG_TEX_830c175603a1/pptx/iter_1.png
2,6499bdbd151f,Automated Evaluation of Personalized Text Gene,template_classic,text_overload,visual_hierarchy_weak;asset_utilization_error,152.7,196,2.667,0.5,6.4,no,overlap_guard,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260531_170227_Automated_Evaluation_of_Person_6499bdbd151f/pptx/iter_1.png
3,c73909e80a4e,BLIP: Bootstrapping Language-Image Pre-trainin,template_dashboard,text_overload,visual_hierarchy_weak;space_imbalance,154.2,177,3,0,12.8,no,overlap_guard,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260531_175759_BLIP_Bootstrapping_Language-Im_c73909e80a4e/pptx/iter_1.png
4,a2ff21dc2919,A Comprehensive Survey of Reward Models: Taxon,template_minimal,visual_hierarchy_weak,text_overload;space_imbalance,161,182,3,0.167,21.3,no,asset_utilization_error,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_043645_A_Comprehensive_Survey_of_Rewa_a2ff21dc2919/pptx/iter_1.png
5,3fdda15fffcb,"Seeing, Listening, Remembering, and Reasoning:",template_classic,visual_hierarchy_weak,text_overload;asset_utilization_error,165.6,207,2.429,0.429,23.4,no,asset_utilization_error,,"/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_050811_Seeing,_Listening,_Remembering_3fdda15fffcb/pptx/iter_1.png"
6,6203fd2fd92e,Retrieval-Augmented Generation with Graphs (Gr,template_minimal,visual_hierarchy_weak,text_overload;space_imbalance,176.2,215,3,0.167,25.5,no,asset_utilization_error,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_220356_Retrieval-Augmented_Generation_6203fd2fd92e/pptx/iter_1.png
7,b08f727827bb,Evaluating LLM Agent Personality and Response ,template_storyflow,text_overload,visual_hierarchy_weak;space_imbalance,176.6,198,2.857,0.286,27.7,no,asset_utilization_error,图太小了,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_212951_Evaluating_LLM_Agent_Personali_b08f727827bb/pptx/iter_1.png
8,da638e0471a6,LeanRAG: Knowledge-Graph-Based Generation with,template_classic,asset_utilization_error,text_overload;visual_hierarchy_weak,178,225,3,0.333,36.2,no,asset_utilization_error,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_141028_LeanRAG_Knowledge-Graph-Based__da638e0471a6/pptx/iter_1.png
9,1c72b772bccb,INSIDE: LLMS’ INTERNAL STATES RETAIN THE POWER,template_classic,text_overload,visual_hierarchy_weak;asset_utilization_error,198.4,226,3,0.143,44.7,no,asset_utilization_error,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005951_INSIDE_LLMS’_INTERNAL_STATES_R_1c72b772bccb/pptx/iter_1.png
10,53730e3ca04c,MLP Memory: A Retriever-Pretrained Memory for ,template_classic,text_overload,visual_hierarchy_weak;asset_utilization_error,205.7,251,3,0.286,53.2,no,,这个标准没啥问题,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_063732_MLP_Memory_A_Retriever-Pretrai_53730e3ca04c/pptx/iter_1.png
11,20c9c0343600,Test-Time Preference Optimization: On-the-Fly ,template_classic,text_overload,visual_hierarchy_weak;structure_alignment_error,212.6,245,3,0.143,61.7,no,asset_utilization_error,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_043121_Test-Time_Preference_Optimizat_20c9c0343600/pptx/iter_1.png
12,f3d5eead40ba,Constitutional AI: Harmlessness from AI Feedba,template_classic,text_overload,visual_hierarchy_weak;asset_utilization_error,233,267,3,0.333,70.2,no,asset_utilization_error,,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_161539_Constitutional_AI_Harmlessness_f3d5eead40ba/pptx/iter_1.png
13,d346898900a2,Chain-of-Thought Prompting Obscures Hallucinat,template_storyflow,text_overload,visual_hierarchy_weak;space_imbalance,238.7,288,3,0.333,80.9,no,structure_alignment_error,左右间距错了,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_150254_Chain-of-Thought_Prompting_Obs_d346898900a2/pptx/iter_1.png
14,c9dd5cc03f4f,BLIP: Bootstrapping Language-Image Pre-trainin,template_classic,text_overload,visual_hierarchy_weak;asset_utilization_error,251.4,329,4,0.286,83,no,asset_utilization_error,标题重叠作为次要问题,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005719_BLIP_Bootstrapping_Language-Im_c9dd5cc03f4f/pptx/iter_1.png
15,44a0517194a2,BLIP: Bootstrapping Language-Image Pre-trainin,template_classic,text_overload,visual_hierarchy_weak;asset_utilization_error,251.4,329,4,0.286,83,no,asset_utilization_error,标题重叠作为次要问题,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260523_235325_BLIP_Bootstrapping_Language-Im_44a0517194a2/pptx/iter_1.png
16,c1e8b5acfe13,Expanding RL with Verifiable Rewards Across Di,template_classic,asset_utilization_error,text_overload;visual_hierarchy_weak,310,380,4.714,0.143,97.9,no,asset_utilization_error,主要还是bullet之间间距有点大,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_152043_Expanding_RL_with_Verifiable_R_c1e8b5acfe13/pptx/iter_1.png
