run_folder,title,template,iter1_png,A_label,B_label,final_label,note
"20260609_023510_Seeing,_Listening,_Remembering_5b5ef16d0aec","Seeing, Listening, Remembering, and Reasoning: A Multimodal Agent with Long-Term Memory",template_classic,"/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_023510_Seeing,_Listening,_Remembering_5b5ef16d0aec/pptx/iter_1.png",asset_too_small,none,none,
20260609_024001_Generalist_Reward_Models_Found_657081bc5ee8,Generalist Reward Models: Found Inside Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024001_Generalist_Reward_Models_Found_657081bc5ee8/pptx/iter_1.png,asset_too_small,space_imbalance,asset_too_small,
20260609_024834_Revisiting_Hallucination_Detec_ca5d974cf3fd,Revisiting Hallucination Detection with Effective Rank-based Uncertainty,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024834_Revisiting_Hallucination_Detec_ca5d974cf3fd/pptx/iter_1.png,none,space_imbalance,none,
20260609_024836_Know_Your_Limits_A_Survey_of_A_345fd4c78f2e,Know Your Limits: A Survey of Abstention in Large Language Models,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_024836_Know_Your_Limits_A_Survey_of_A_345fd4c78f2e/pptx/iter_1.png,asset_too_small,space_imbalance,none,
20260609_025220_Is_Chain-of-Thought_Reasoning__0a77c3c5f24d,Is Chain-of-Thought Reasoning of LLMs a Mirage? A Data Distribution Lens,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_025220_Is_Chain-of-Thought_Reasoning__0a77c3c5f24d/pptx/iter_1.png,asset_too_small,structure_alignment_error,asset_too_small，structure_alignment_error,
20260609_031542_LeanRAG_Knowledge-Graph-Based__24e848eba9fe,LeanRAG: Knowledge-Graph-Based Generation with Semantic Aggregation and Hierarchical Retrieval,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031542_LeanRAG_Knowledge-Graph-Based__24e848eba9fe/pptx/iter_1.png,asset_too_small,none,none,
20260609_031955_Multimodal_Retrieval-Reflectio_90b3ba39356e,Multimodal Retrieval-Reflection-Augmented Generation for Knowledge-Based VQA,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_031955_Multimodal_Retrieval-Reflectio_90b3ba39356e/pptx/iter_1.png,asset_too_small,none,none,
20260609_033644_AQA_Adaptive_Question_Answerin_7686221c4c02,AQA: Adaptive Question Answering in a Society of LLMs via Contextual Multi-Armed Bandit,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_033644_AQA_Adaptive_Question_Answerin_7686221c4c02/pptx/iter_1.png,asset_too_small,none,none,
20260609_034637_Building_Production-Ready_AI_A_fcec57454c05,Building Production-Ready AI Agents with Scalable Long-Term Memory,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_034637_Building_Production-Ready_AI_A_fcec57454c05/pptx/iter_1.png,other,none,none,
20260609_041103_InfiFusion_A_Unified_Framework_91741a511b2b,InfiFusion: A Unified Framework for Enhanced Cross-Model Reasoning via LLM Fusion,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_041103_InfiFusion_A_Unified_Framework_91741a511b2b/pptx/iter_1.png,none,asset_too_small,none,
20260609_042935_A_Survey_of_Large_Language_Mod_5736843ad823,A Survey of Large Language Model Empowered Agents for Recommendation and Search,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/PosterCS/outputs/runs/20260609_042935_A_Survey_of_Large_Language_Mod_5736843ad823/pptx/iter_1.png,asset_too_small,none,none,
